Time (min),AT5,AT5,NE1,NE1,NE3,NE3,NE4,NE4,NG2,NG2,Polymyxin B,Polymyxin B,Levofloxacin,Levofloxacin
1,-17.204,4.627,-16.257,6.628,-15.856,3.294,-23.038,10.525,-22.027,5.397,-18.239,3.78,-16.057,3.646
2,-24.633,4.125,-24.205,6.281,-23.03,3.719,-26.529,10.065,-25.715,4.38,-24.264,4.344,-25.061,3.676
3,-28.354,4.872,-30.228,5.432,-27.042,4.121,-28.527,8.904,-30.677,4.058,-31.04,3.914,-27.12,4.805
4,-33.141,3.379,-30.73,4.534,-29.476,2.843,-31.673,7.915,-33.416,2.939,-31.006,2.96,-30.659,3.724
5,-35.331,2.536,-32.906,3.744,-32.923,1.519,-36.7,5.629,-37.729,1.796,-35.749,2.218,-33.987,2.786
6,-37.295,1.528,-36.218,2.492,-34.16,1.784,-38.178,5.676,-36.527,1.818,-34.902,1.989,-32.801,1.752
7,-39.327,3.832,-38.059,4.092,-37.006,3.069,-39.077,7.129,-39.764,3.209,-37.818,3.056,-36.738,3.347
8,-39.625,3.561,-35.968,3.156,-36.405,2.491,-42.345,5.663,-40.617,2.114,-38.088,2.594,-34.504,3.094
9,-35.058,4.363,-34.608,4.908,-35.526,4.028,-40.27,7.326,-37.363,4.391,-36.339,3.988,-35.058,4.217
10,-37.103,4.469,-37.151,4.481,-38.238,4.111,-40.854,6.31,-40.854,3.792,-35.314,4.251,-37.084,4.5
11,-36.818,4.089,-34.204,4.197,-35.206,4.155,-39.081,6.552,-38.75,3.927,-36.548,4.033,-34.625,4.13
12,-36.969,4.084,-34.709,4.495,-35.182,4.173,-38.139,6.818,-38.642,4.205,-35.788,3.998,-34.833,4.803
13,-32.872,4.618,-33.108,5.811,-34.716,4.27,-38.564,6.794,-34.448,4.354,-33.848,4.527,-33.526,4.446
14,-35.174,3.973,-35.291,5.81,-36.124,3.652,-39.487,6.782,-36.252,4.179,-34.8,3.979,-35.077,4.249
15,-31.298,5.669,-33.853,4.91,-35.534,3.621,-38.952,7.315,-35.601,4.901,-33.433,4.129,-32.305,4.038
16,0.552,8.562,5.934,10.682,-3.875,8.187,-17.732,12.315,15.283,10.528,7.245,8.647,1.426,8.488
17,8.918,8.097,15.493,8.913,6.014,6.39,-14.566,14.425,34.988,9.405,13.59,8.057,13.029,7.612
18,16.023,8.439,20.85,11.865,10.632,7.953,-14.042,14.897,53.134,10.596,19.408,8.33,22.605,7.355
19,17.846,9.603,23.496,11.521,11.047,8.638,-10.958,13.779,52.781,13.834,24.659,10.059,24.621,9.454
20,24.617,10.594,28.319,14.61,14.354,8.508,-7.807,14.68,61.574,13.324,27.631,10.018,25.786,9.759
21,25.098,9.061,31.271,13.732,15.134,8.854,-6.486,13.028,65.03,13.323,29.617,10.61,31.662,10.224
22,28.747,9.563,32.498,11.469,17.346,7.087,1.029,12.848,69.357,12.699,33.392,8.753,33.46,7.385
23,33.922,8.378,35.158,9.805,18.927,6.149,2.807,12.895,76.973,11.117,37.493,8.579,35.27,6.377
24,34.069,9.789,46.634,12.509,24.807,6.059,7.576,14.327,75.741,13.659,31.806,10.597,33.985,6.153
25,38.142,10.808,42.808,12.599,24.641,7.025,8.621,12.589,83.227,10.976,33.689,10.251,31.711,5.225
26,41.384,9.285,51.235,13.166,30.298,5.147,11.027,13.06,92.515,11.393,35.982,8.321,38.869,4.739
27,39.983,9.866,52.266,14.57,22.527,6.466,8.262,14.31,87.498,10.953,34.708,10.774,32.464,6.633
28,48.044,7.091,58.025,12.747,33.747,6.4,18.007,12.311,88.901,10.693,44.319,9.987,36.728,4.47
29,45.662,7.773,55.509,12.388,36.123,5.06,17.799,11.609,89.552,9.78,36.03,10.878,32.794,4.723
30,52.769,11.113,58.37,13.911,35.388,6.432,18.288,14.696,98.044,11.877,34.512,12.391,30.695,6.304
31,52.038,10.162,54.519,13.073,34.94,5.15,18.385,16.965,96.776,9.3,26.663,11.095,29.189,7.151
32,63.156,10.958,66.404,16.92,41.076,7.717,27.231,14.429,100.197,14.753,32.776,11.17,33.136,8.954
33,48.021,8.999,60.426,15.673,37.005,5.276,24.067,14.465,97.189,8.987,31.4,8.115,24.6,3.725
34,50.245,8.856,65.127,14.429,37.027,6.909,26.354,14.135,101.159,8.654,31.005,10.044,26.501,4.613
35,61.607,9.119,72.665,14.895,49.845,5.394,33.894,16.447,106.593,11.178,39.526,12.334,29.155,6.465
36,60.83,10.486,70.989,13.187,53.582,5.335,31.938,15.718,107.078,8.506,34.848,13.085,23.379,5.219
37,62.076,11.932,75.467,20.475,46.92,8.974,33.737,16.364,108.391,14.042,33.945,13.935,26.159,10.638
38,66.702,7.826,74.708,13.911,56.539,9.165,33.793,17.523,110.198,10.135,33.828,14.969,23.524,5.795
39,67.696,8.033,76.98,15.479,58.194,6.763,40.643,19.865,114.989,10.627,37.809,12.351,23.619,8.673
40,70.335,9.87,74.37,14.42,53.71,4.919,39.283,16.256,115.256,9.99,32.277,11.028,19.723,4.924
41,74.668,9.937,79.738,16.896,59.345,6.883,44.659,22.428,117.343,12.077,36.427,11.34,23.835,8.891
42,74.746,7.324,90.056,18.218,63.879,6.584,43.54,18.153,121.714,11.886,33.446,13.036,20.49,7.681
43,76.867,13.793,87.393,17.396,66.934,8.315,46.055,17.215,125.062,11.694,33.295,12.473,25.521,6.251
44,74.258,11.827,88.775,15.313,61.777,8.835,41.838,16.433,126.598,11.056,32.744,14.258,19.482,7.432
45,79.303,10.601,94.033,18.192,63.549,8.139,49.468,19.015,126.408,10.52,32.454,14.286,18.157,6.29
46,74.82,12.39,87.536,18.826,65.23,11.652,46.962,21.084,124.131,14.699,31.14,14.166,18.521,8.627
47,79.142,10.639,85.135,17.689,63.514,6.899,44.614,17.878,129.025,13.929,27.81,13.296,17.842,4.165
48,81.083,12.982,92.096,15.583,73.621,6.009,50.231,16.682,123.49,10.213,29.97,14.312,16.169,4.98
49,68.299,9.598,84.797,15.474,68.146,7.939,44.332,19.241,117.013,13.259,22.919,10.781,4.515,5.665
50,87.782,15.45,97.147,19.198,76.184,9.091,58.073,20.557,130.473,11.664,31.735,11.899,16.808,5.887
51,91.989,14.472,99.289,18.649,82.64,6.38,57.54,22.125,137.733,12.245,29.701,12.084,18.072,5.728
52,88.438,12.391,101.261,15.852,86.749,7.134,58.709,21.204,149.006,11.608,33.618,13.459,19.876,7.223
53,92.758,14.615,111.695,21.486,85.171,9.702,67.402,22.47,142.521,15.08,30.545,13.448,15.24,8.825
54,98.298,15.163,117.336,19.938,94.6,6.651,71.455,24.075,155.412,9.73,40.549,13.054,16.769,7.93
55,103.084,12.671,110.418,19.046,95.408,10.723,69.637,20.414,160.338,16.344,38.04,16.744,19.214,10.437
56,107.983,18.571,130.842,24.46,105.539,13.53,80.479,24.904,177.625,18.383,34.736,15.002,22.666,9.213
57,114.677,14.863,133.132,24.188,106.103,9.614,74.231,24.424,169.751,13.48,41.003,16.242,23.347,7.598
58,114.271,15.499,137.481,26.373,110.081,8.614,88.725,23.942,176.866,17.008,46.445,10.85,29.152,11.021
59,122.895,17.132,137.141,21.129,119.995,9.908,90.195,27.581,183.06,13.005,44.636,16.377,30.955,7.481
60,123.355,14.232,136.307,26.382,120,12.912,91.183,25.351,187.62,12.896,40.416,15.767,28.817,9.715
61,79.591,20.414,62.568,19.065,48.063,13.206,34.588,22.402,84.304,17.206,48.375,23.446,16.468,11.966
62,61.145,23.256,52.705,20.323,45.552,16.164,25.613,23.541,70.03,18.826,31.733,18.22,6.819,12.515
63,49.907,17.141,51.065,19.133,36.355,12.24,23.276,21.798,55.83,12.974,22.668,12.918,7.604,10.487
64,43.189,14.183,46.063,13.246,34.437,8.815,20.7,21.817,45.994,7.376,24.216,12.756,6.153,8.025
65,34.983,10.182,39.058,10.313,32.365,5.199,13.953,20.116,40.5,3.681,20.701,9.971,4.803,6.057
66,38.658,10.751,40.942,11.536,33.912,6.416,16.174,21.215,41.416,6.356,24.851,6.566,6.187,6.084
67,30.918,9.547,33.301,9.893,27.171,5.831,11.754,18.538,34.781,5.737,18.774,6.032,1.623,5.622
68,29.128,10.019,31.401,7.799,28.695,5.364,7.616,18.644,31.427,2.884,15.051,6.882,3.397,5.76
69,22.774,11.247,28.084,7.32,22.55,6.58,5.854,18.724,28.416,3.197,13.767,5.555,0.344,6.04
70,25.16,8.533,27.982,7.235,23.854,7.25,3.678,17.946,29.054,4.073,12.4,7.18,1.096,5.005
71,22.081,8.757,28.131,7.628,21.875,6.812,6.595,17.65,26.564,4.661,11.935,4.974,-1.49,5.317
72,26.044,9.672,28.265,6.883,23.759,5.816,4.894,16.669,26.602,5.256,13.454,5.772,1.099,4.592
73,16.971,9.221,22.797,8.54,17.964,5.255,1.127,17.375,20.102,4.564,8.326,6.777,-4.085,5.31
74,20.822,9.536,25.559,8.524,19.891,5.952,2.899,17.502,24.731,5.21,10.099,7.898,-1.583,4.942
75,15.391,7.56,21.573,8.795,16.783,5.718,0,15.672,20.652,5.074,7.027,4.939,-4.933,4.163