"Time (min)",Buffer,Buffer,Buffer,"Buffer + NPN ","Buffer + NPN ","Buffer + NPN ","Buffer + A. baumannii ATCC 19606","Buffer + A. baumannii ATCC 19606","Buffer + A. baumannii ATCC 19606","Buffer + NPN + A. baumannii ATCC 19606","Buffer + NPN + A. baumannii ATCC 19606","Buffer + NPN + A. baumannii ATCC 19606",AT4,AT4,AT4,NE1,NE1,NE1,NE2,NE2,NE2,NG1,NG1,NG1,NG3,NG3,NG3,"Polytmyxin B","Polytmyxin B","Polytmyxin B",Levofloxacin,Levofloxacin,Levofloxacin
1.0,51,77,105,18580,23609,23637,261,326,331,41725,43212,48961,77555,78900,66409,70028,74723,79393,65864,73434,65895,76505,59026,75001,72553,83225,58440,59367,67704,65803,63092,72179,62571
2.0,64,112,106,17835,22036,21004,287,275,321,41570,41276,47673,75169,75560,67402,67365,71047,77584,62661,70793,63677,74504,57786,72710,69335,79927,57069,58263,66114,61277,58677,68957,60104
3.0,98,75,65,14846,19172,17998,309,291,270,40422,40540,45832,71693,70007,59970,65513,68850,74078,61358,68069,62011,71839,54947,69669,67696,75186,54933,57254,65466,60650,55415,66175,56844
4.0,79,59,79,13118,17441,16486,300,278,281,39555,39939,44836,66162,64773,57208,60144,64911,69892,59080,64746,58542,70115,54770,68149,63716,71962,53604,55230,63292,58960,53234,62053,56071
5.0,96,81,76,11503,16218,14891,316,260,294,39456,39629,44803,65777,59593,51596,55827,60923,64909,57363,62601,57770,68211,53336,65730,60240,66807,51448,54829,62465,57397,50759,59845,54181
6.0,83,86,93,11071,14808,14008,283,310,356,39483,38723,43965,62787,62050,54860,50222,54733,58561,56127,59671,56021,67140,52383,63830,57601,64120,49227,54857,62268,57699,50404,58508,54216
7.0,115,96,60,9987,13988,12704,394,273,270,38816,39220,42365,60441,61732,53041,48173,50355,55349,53509,57579,53326,64679,51573,62183,56124,59352,46968,53164,61206,55829,50274,56431,52655
8.0,57,108,60,9046,13425,12212,346,306,318,38122,38791,42138,53688,58463,48034,43986,48220,55728,51208,54372,50136,64669,51055,60420,52998,54964,46426,53291,59507,56620,49082,55318,52324
9.0,62,120,98,8753,13078,11670,337,340,255,37793,38524,41990,49928,56848,48161,50038,46823,48733,48812,54020,48067,62998,49327,60015,48563,51595,43094,53972,59271,55234,48892,53130,51180
10.0,80,88,126,8074,12825,10995,363,300,353,38048,38355,40904,46157,49502,43483,43017,42083,47088,47645,50130,47299,61627,48845,57297,47837,56037,39375,53146,59244,53797,46349,51366,50959
11.0,131,90,79,7847,12365,10997,300,312,328,38471,38697,40491,61388,51721,45603,42261,40152,49217,45880,49835,44677,60609,48051,56604,46287,47243,39397,52761,58516,55437,47278,51529,50083
12.0,102,79,105,7355,12139,10635,301,310,269,37318,38101,39939,46882,43429,50122,43866,44831,46606,42875,46074,42749,59203,47799,57007,48967,49722,36692,52046,59544,55169,45778,49730,50423
13.0,110,132,95,7280,12281,10688,328,326,300,38241,38606,40407,45672,44552,53549,40469,38689,37790,42932,44424,41182,58987,47109,56339,42240,44989,40579,51727,59069,54574,45753,50283,49147
14.0,108,93,100,7225,12151,10719,281,342,260,38242,38415,40345,50108,50737,46385,40069,41597,41442,39628,45131,38237,58559,47268,56109,41983,43170,38925,52137,59169,55074,45815,47702,48488
15.0,76,68,112,7304,12488,10560,321,269,367,37953,38308,40436,55181,54069,42312,40073,36880,38794,41103,43237,39584,57810,46485,54786,40364,49198,33997,51150,58903,54797,45252,47601,48731
16.0,80,106,82,7386,12635,10549,306,312,275,37516,38559,40391,51660,42779,47366,38853,41002,41766,37769,43203,41357,56995,46394,54227,43370,39521,34316,52342,59416,55187,46508,47082,47880
17.0,71,82,98,7100,12723,10791,296,225,258,37841,37986,40354,52542,42734,56365,40238,38020,42914,38551,42162,36930,56360,45717,53161,34776,41916,36935,52156,58889,54711,45300,46249,48352
18.0,53,81,99,7302,12761,11425,235,274,344,38171,38265,40112,48061,41046,55058,38511,40753,42125,38462,38486,36906,56078,46432,53587,39171,41487,34764,51752,59979,54767,44123,45810,48765
19.0,87,94,88,7735,13017,11414,329,285,335,37681,38772,41052,49079,55078,43179,31719,40149,39470,35087,38217,38209,55499,45715,52705,42126,42667,33625,51241,59793,55503,44813,46038,47978
20.0,107,90,115,7839,13609,11072,317,338,272,38669,38645,39688,50041,43401,53284,36997,37992,42171,38575,36981,35957,55672,45429,52305,36693,43856,30432,51877,60401,55407,44733,45746,47795
21.0,57,56,66,8131,13457,11401,309,302,335,37667,38785,39333,45549,43459,45848,37256,37017,39831,38400,34564,36082,55350,45882,51465,36234,41065,35937,52914,60474,55980,46795,45031,47823
22.0,84,66,89,7905,13778,11613,317,332,333,37038,38150,41867,48651,48879,49920,32997,37095,37833,37988,35763,33519,54900,45704,52065,35499,38497,28559,52779,60029,55135,44131,43917,48179
23.0,93,76,91,7863,13823,11652,348,265,271,36608,37481,40759,52740,53755,44923,36509,39932,37202,35521,36070,32963,54684,44601,50668,35671,37272,29124,52100,59638,56385,44115,44180,48051
24.0,77,79,78,8067,13967,11715,332,317,317,38417,38838,41616,49120,47439,53347,40603,32495,38771,35793,34347,31540,54161,44452,50776,34652,40004,31726,52212,60475,55911,45830,43598,48619
25.0,85,96,79,8446,14151,12092,287,302,319,39152,36234,42746,49783,49277,55798,35441,39606,39686,36431,31915,33805,53284,44874,51010,36521,43361,29462,52625,61006,55563,45785,44516,47053
26.0,112,89,90,8225,14354,11739,288,277,307,40850,38557,42524,49720,55604,49018,34649,33738,37707,33575,31945,33105,53365,43554,49847,33731,42638,31380,52342,61059,55699,44873,43064,46973
27.0,68,94,83,8621,14033,12256,326,295,294,38615,38489,40722,49774,53819,46889,32469,38783,41901,34359,32746,32403,53489,43668,50727,40084,41239,30079,52655,61159,56117,45072,42251,46893
28.0,63,110,64,8567,14487,12231,351,329,309,37566,37413,40251,47043,46823,54275,31654,31773,40830,31753,32453,32028,53724,43540,49573,34145,43022,27833,51861,61510,55583,47660,41580,47038
29.0,82,63,111,8800,14583,12273,318,291,298,38834,39474,40221,49740,57551,53923,40890,37407,37891,34062,33320,30780,53579,43468,49807,35308,37351,30645,52503,61873,55907,45489,42134,47175
30.0,89,113,94,8680,14529,12139,335,343,354,38555,40385,39338,47282,45292,56310,31242,38759,38001,31549,28394,28674,53674,43546,49760,30866,37786,31295,52436,61883,55745,48570,42670,47409
31.0,97,89,87,8632,14850,12529,287,332,373,38686,38739,40867,51956,45598,53652,35964,33100,38234,33613,30655,30294,53139,43079,49889,31966,40835,27813,52955,62356,56075,45999,40811,47000
32.0,89,79,70,8563,14663,12318,311,329,321,39712,40265,40915,48321,51966,51249,41304,35298,37886,32139,29551,28965,53063,42630,49287,33626,40787,27687,52306,62317,56713,45736,42122,47797
33.0,74,79,91,8822,14884,12361,308,342,325,39513,39793,40254,43688,51257,57510,35861,36055,37085,32360,30302,28000,52832,42897,49001,30813,43028,28813,52481,62704,55963,45150,40802,47494
34.0,66,59,88,8735,14668,12460,308,309,315,39058,38509,39439,54006,48946,53361,38552,37130,44857,31451,30307,29379,52797,43057,49001,34208,39512,29661,52961,62460,56763,45303,40899,46756
35.0,77,73,62,8632,14703,12308,310,345,294,38496,39042,40465,44395,53561,50830,33662,38689,37889,32374,27524,28742,52225,42566,48799,35361,40220,29361,53365,62589,57463,44475,39573,47312
36.0,105,72,98,8726,14603,12429,294,308,330,36038,38278,41280,43830,48541,50577,36544,38210,37145,30363,27878,27750,52392,42163,48911,31579,38644,34165,53129,62779,56723,46175,41204,47506
37.0,86,75,94,8886,14932,12338,337,285,329,38604,37483,41207,52694,55740,50158,36026,39352,37100,31772,27545,26900,52028,42442,48212,35042,41795,29027,53242,62897,57296,47473,42592,47048
38.0,89,93,97,8527,14991,12591,323,296,348,39005,41432,44933,45420,45792,57800,37898,36764,39625,29722,26712,27815,52382,41595,48536,30968,40470,31451,54446,63568,56499,46657,39988,46299
39.0,108,100,82,8682,14476,12728,308,331,270,38229,38293,40801,51523,58102,54358,38618,33731,34169,31099,29139,28412,52233,41688,48215,37214,41933,31200,53363,63376,56400,45845,40429,47162
40.0,102,103,59,8856,14891,12475,297,334,293,38448,39664,43533,47651,48623,49598,30908,31646,38209,31121,28019,26813,52162,41115,47499,29034,42618,32867,52923,63515,56503,45585,40347,46785
41.0,69,71,106,8799,14660,12453,282,324,326,35938,38286,43914,51095,46921,53578,40070,33934,35614,29615,25546,26870,51922,41489,47741,32306,40978,27742,53733,63395,56406,47953,37370,47108
42.0,90,87,74,8916,14946,12496,375,332,339,38624,37245,44070,44215,46405,57271,45236,34612,38731,30248,26361,26882,51616,41556,48043,30228,42835,27877,53456,63803,56429,45372,38721,46697
43.0,91,79,81,8953,15109,12341,302,331,381,41376,40224,43298,55661,44483,53906,44122,35018,36459,30017,26052,26163,52195,40935,47651,31791,42511,30582,53288,63315,55645,45735,38294,47045
44.0,94,115,63,8865,14630,12165,286,250,327,41638,39561,39107,52915,52211,56036,42534,34669,34836,29976,24799,25852,51829,40939,47750,33907,38849,27835,53422,64165,56882,46021,39259,46633
45.0,100,75,158,8911,14979,12153,328,276,315,39199,38997,44623,45389,48032,54157,36641,38435,36432,30571,26118,25524,51734,40699,46931,31516,41289,28972,53202,63909,57134,45294,38687,46411
46.0,384,346,269,120407,135084,126731,541,473,520,142282,143253,148576,188906,190161,177323,169016,176757,187233,196253,201823,191934,201027,170258,200757,204009,215161,168081,188087,198507,188284,175131,196245,192637
47.0,247,209,186,149383,153758,143680,506,429,406,156266,158555,167228,201319,215246,191521,191284,195856,206360,209660,211009,198998,217245,186825,219421,216359,224621,186461,202437,217215,206684,184728,213509,210392
48.0,308,202,202,160631,164143,151435,518,389,525,160756,163685,171774,205926,221941,196032,196873,203709,212640,217845,218588,204694,223133,192118,225315,225951,228993,191969,209465,225127,217216,191037,219118,217812
49.0,287,234,219,165784,166807,154802,499,499,455,161580,164690,174544,208295,223732,198884,198819,207792,216252,222491,221817,207559,227657,195058,228513,229600,234198,196612,212892,228516,223197,195035,223011,223002
50.0,221,251,214,170090,169908,156641,532,425,519,163421,165787,175267,208624,226226,199557,199680,207933,217578,225147,224478,209047,230498,197812,231385,232297,235630,198659,215547,231698,225587,195845,224976,227349
51.0,250,244,214,170972,170644,157293,519,447,455,163791,166461,176296,208463,225246,198713,200922,208214,216817,225821,224412,209890,230544,199032,231225,233770,236059,199699,214936,234580,228710,197011,225635,228715
52.0,204,248,243,173525,171190,158766,561,488,489,163723,166645,176092,209231,226762,199892,201504,208196,217945,226731,225568,211162,232953,199398,233065,235084,236289,199416,216638,235612,229089,197675,226246,231132
53.0,261,213,205,174239,172617,158654,498,486,460,164345,167959,176506,209924,226886,200650,201676,209715,218503,227838,225686,211406,232819,199474,233660,234188,236862,200328,217070,235527,231170,199077,226942,232740
54.0,227,224,214,176032,173674,159996,599,484,477,164530,168034,178351,209342,225894,200455,202100,209389,218379,227313,227163,211819,233407,201129,234223,235009,238442,200397,217718,236855,231934,200294,227164,233257
55.0,247,249,235,177138,173871,160924,551,446,459,163725,168279,178485,210777,227047,200663,202161,209728,218585,228456,225320,212491,234331,199529,233807,235230,239143,201211,217836,235722,231661,198946,227738,233265
56.0,249,245,191,177214,174368,161243,548,493,438,163522,167402,177744,210654,226762,200991,204398,208956,219886,228164,227251,211725,234000,200383,234587,236784,237713,200829,217100,236816,231798,199500,227291,232956
57.0,298,224,251,177851,174381,160752,493,520,496,164334,167269,177215,210654,225464,200032,204252,209184,219191,226891,227198,212772,234258,199553,235093,236383,238216,199739,217490,237484,232944,199204,227162,235414
58.0,275,213,214,177312,174048,160871,559,474,477,164821,168151,178501,209423,227100,200453,203716,208770,218902,228246,225828,211720,233753,198757,233358,236641,238329,201498,216952,236766,233352,199483,226893,235743
59.0,223,219,219,177396,175468,160916,576,521,438,164645,168231,177307,208159,226487,199338,203883,208566,220019,226553,225090,212468,234078,201098,234087,235785,238227,199368,216967,236325,231928,199265,228353,235457
60.0,225,224,217,179830,174853,161965,536,448,511,165462,168229,177470,208738,226049,200134,203289,207380,218069,227900,226067,212778,234314,200741,233033,236619,237376,199580,216656,236589,233248,199392,227170,235625